"After this deadline, the bank details will expire and your order will be canceled. By transferring the exact amount, your purchase will be automatically confirmed.","Después de este plazo los datos bancarios expirarán y tu pedido será cancelado. Al transferir el monto exacto, tu compra será automáticamente confirmada."
"An internal error occurred. Please try again later or contact with support.","Ocurrió un error interno. Intente nuevamente más tarde o póngase en contacto con soporte"
"Are you sure you want to send the payment instructions email to customer?","¿Está seguro de enviar las instrucciones de pago al cliente?"
"Bank: Pollux Capital","Banco: Pollux Capital"
"Beneficiary: %1","Beneficiario: %1"
"Caution","Cuidado"
"Client ID","ID de Cliente"
"Client Secret","Clave secreta de cliente"
"Copied","Copiado"
"Copy","Copiar"
"Currency Code","Código de la moneda"
"CUIT: %1","CUIT: %1"
"Customer is redirected to %1","El cliente fue redireccionado a %1"
"Details for payment","Detalles para el pago"
"Exact amount for transfer","Monto exacto para transferencia"
"Exclusive alias for this purchase","Alias exclusivo para esta compra"
"Expiration Payment","Vencimiento del pago"
"If this is active, a new email will be sent with the payment instructions after place order","Si se activa, se enviará un nuevo email con las instrucciones de pago luego de que se genere el pedido"
"Instructions","Instrucciones"
"Invalid payment data.","Datos de pago inválidos."
"Make the payment before %1 to complete your purchase","Realizá el pago antes del %1 para concluir la compra"
"New Order Status","Estado del pedido nuevo"
"No order id specified.","No se especificó un ID de pedido."
"Notification ID %1","ID de notificación %1"
"Payment has been accepted","El pago fue aceptado"
"Payment has been rejected","El pago fue rechazado"
"Retry payment","Reintentar Pago"
"Test Credentials","Probar credenciales"
"The CVU or alias is <strong>exclusive for this purchase order.</strong> Do not try to use them again for another order.","El CVU o alias es <strong>exclusivo para esta orden de compra.</strong> No intentes volver a usarlos para otro pedido."
"The order has been overpaid","El pedido fue sobre pagado"
"The Order has been paid","El pedido fue pagado"
"The order status will be updated once the payment is received","El estado de la orden se actualizará una vez recibido el pago"
"There was an error processing your payment.","Hubo un error procesando su pago."
"User ID","ID de Usuario"
"Waiting for payment...","Esperando pago..."
